trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.22232392577061855, 'e': 0.8724113569666346}",25,5,-139.9876926349948,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",1
92,False,"{'a': 0.22151546799151525, 'e': 0.8708086425197399}",25,0,-126.76974194092496,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
93,False,"{'a': 0.2207186428753261, 'e': 0.8692057234499423}",35,0,-169.4720103940296,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
94,False,"{'a': 0.21993316063421825, 'e': 0.8676026455280836}",20,0,-57.86289397111938,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
95,False,"{'a': 0.21915874168443503, 'e': 0.8659994535378498}",25,0,-100.86543814961539,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
96,False,"{'a': 0.21839511618407473, 'e': 0.8643961913048334}",25,0,-186.25786446648956,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
97,False,"{'a': 0.21764202359637289, 'e': 0.8627929017244272}",25,0,-209.45248375129006,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
98,False,"{'a': 0.21689921227683306, 'e': 0.8611896267886104}",25,4,-52.752434336742425,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.216166439082676, 'e': 0.85958640761168}",20,0,-102.30676785998536,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
100,False,"{'a': 0.2154434690031884, 'e': 0.8579832844549808}",20,0,-70.52361971433096,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.2147300748096567, 'e': 0.8563802967506845}",30,0,-120.71662099637109,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
102,False,"{'a': 0.2140260367236655, 'e': 0.8547774831246617}",25,0,-132.82519987040143,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
103,False,"{'a': 0.21333114210262794, 'e': 0.8531748814184916}",20,0,-35.6511066793158,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.2126451851414951, 'e': 0.8515725287106509}",20,16,5.359155117276265,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.21196796658966532, 'e': 0.8499704613369192}",25,0,-72.8441294591761,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.21129929348218257, 'e': 0.848368714910039}",20,0,-101.1888285786861,"{0: 7, 1: 5, 2: 7, 3: 1, 4: 0}",0
107,False,"{'a': 0.21063897888437538, 'e': 0.8467673243386626}",20,12,-45.858185587074864,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.20998684164914555, 'e': 0.845166323845622}",20,12,-46.65551505923881,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.20934270618616924, 'e': 0.8435657469855478}",25,13,-12.19798502916003,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.20870640224232317, 'e': 0.8419656266618706}",25,0,-123.33316726882393,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
111,False,"{'a': 0.2080777646926925, 'e': 0.8403659951432303}",25,0,-159.17431803871625,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
112,False,"{'a': 0.2074566333415609, 'e': 0.8387668840793188}",20,11,16.08937504017762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2068428527328215, 'e': 0.8371683245161824}",25,0,-121.728394785501,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
114,False,"{'a': 0.20623627196928387, 'e': 0.8355703469110068}",25,13,-42.632566216981836,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
115,False,"{'a': 0.20563674454038525, 'e': 0.8339729811464058}",25,20,7.024040465934485,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.20504412815784637, 'e': 0.8323762565442363}",20,0,-207.80269227419925,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 3}",0
117,False,"{'a': 0.20445828459884038, 'e': 0.8307802018789581}",20,6,-34.71539285305567,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
118,False,"{'a': 0.20387907955627035, 'e': 0.8291848453905591}",30,0,-239.9657114765399,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
119,False,"{'a': 0.2033063824957759, 'e': 0.8275902147970624}",30,0,-173.1272925072989,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",1
120,False,"{'a': 0.20274006651911336, 'e': 0.8259963373066331}",20,5,-74.5158723545258,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
121,False,"{'a': 0.20218000823357415, 'e': 0.8244032396293008}",25,0,-40.7968368498346,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",1
122,False,"{'a': 0.20162608762712764, 'e': 0.8228109479883144}",20,0,-23.335775651820367,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.20107818794899246, 'e': 0.8212194881311414}",25,3,-75.00197008945773,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 1}",1
124,False,"{'a': 0.20053619559535896, 'e': 0.8196288853401287}",20,0,-146.0090714281272,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
125,False,"{'a': 0.20000000000000004, 'e': 0.8180391644428361}",30,16,10.11492824964721,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.19946949352952514, 'e': 0.8164503498220564}",20,0,-132.92152817753689,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
127,False,"{'a': 0.19894457138304453, 'e': 0.8148624654255336}",20,3,-98.77768173077592,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
128,False,"{'a': 0.19842513149602498, 'e': 0.8132755347753906}",25,0,-14.431164676986834,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.19791107444813102, 'e': 0.8116895809772786}",30,15,-49.67484594760307,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
130,False,"{'a': 0.19740230337485712, 'e': 0.8101046267292568}",30,0,-76.7600819371134,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
131,False,"{'a': 0.1968987238827663, 'e': 0.8085206943304146}",20,0,-90.14809478941656,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
132,False,"{'a': 0.1964002439681624, 'e': 0.8069378056892449}",20,0,-22.395387772607798,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
133,False,"{'a': 0.19590677393903197, 'e': 0.8053559823317759}",20,0,-91.51097511718834,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
134,False,"{'a': 0.19541822634010067, 'e': 0.8037752454094738}",25,11,-96.45006159383409,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
135,False,"{'a': 0.19493451588085775, 'e': 0.8021956157069221}",20,0,-127.39195442464403,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
136,False,"{'a': 0.19445555936641015, 'e': 0.8006171136492863}",20,6,-0.7329843079480611,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.19398127563103507, 'e': 0.7990397593095709}",20,0,-113.25717368443584,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.19351158547430666, 'e': 0.7974635724156781}",20,0,-57.56359205248188,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.19304641159967956, 'e': 0.7958885723572723}",20,0,-53.63770282387324,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
140,False,"{'a': 0.1925856785554179, 'e': 0.7943147781924601}",25,0,-65.49765025792087,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.19212931267776348, 'e': 0.7927422086542898}",30,0,-145.95777482658863,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
142,False,"{'a': 0.1916772420362441, 'e': 0.7911708821570778}",20,0,-148.6616594322652,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
143,False,"{'a': 0.1912293963810262, 'e': 0.7896008168025677}",20,9,-36.04236643724632,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
144,False,"{'a': 0.190785707092222, 'e': 0.7880320303859276}",20,2,-52.315295626655505,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
145,False,"{'a': 0.19034610713106548, 'e': 0.7864645404015912}",20,0,-125.6302390810235,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
146,False,"{'a': 0.18991053099287608, 'e': 0.7848983640489471}",35,28,12.418700402395789,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
